zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,1.19905e+06,1.87221e+06,1.86666e+06,1.06731e+06,1.90271e+06
0.1,887478,1.75649e+06,1.74696e+06,874808,1.80136e+06
0.2,883968,1.74864e+06,1.74501e+06,869478,1.78672e+06
0.3,875280,1.73089e+06,1.72496e+06,860278,1.7753e+06
0.4,855465,1.68845e+06,1.68024e+06,840115,1.73118e+06
0.5,810010,1.6141e+06,1.6044e+06,791630,1.64233e+06
0.6,725175,1.47928e+06,1.46487e+06,711365,1.4897e+06
0.7,601730,1.28746e+06,1.27218e+06,595880,1.2732e+06
0.8,461629,1.07451e+06,1.0583e+06,458707,1.03057e+06
0.9,336836,860284,844862,328993,789524
